links,names,ratings,price for one,cuisine,images,address,timing,contact
https://www.zomato.com/visakhapatnam/the-secret-garden-akkayyapalem-vizag/info,The Secret Garden,3.3,"₹1,600 for two","South Indian, North Indian, Beverages",https://b.zmtcdn.com/data/pictures/5/21669075/3d9470cdb6a9082047060d7f7d974f06_featured_v2.jpg,"Akkayyapalem, Vizag",,+919000299939
https://www.zomato.com/visakhapatnam/upland-bistro-waltair-uplands-vizag/info,Upland Bistro,4.5,"₹1,200 for two","Continental, Mediterranean, Mexican, Italian, French, Desserts, Beverages, Pizza",https://b.zmtcdn.com/data/pictures/2/18433622/c9d1be169e9def4cc97d889d346eb380_featured_v2.jpg,"Waltair Uplands, Vizag",,+918088261886
https://www.zomato.com/visakhapatnam/qubaa-east-point-colony-vizag/info,Qubaa,3.9,₹600 for two,"Bar Food, Biryani, Fast Food, Chinese, Beverages",https://b.zmtcdn.com/data/pictures/5/20866495/030be2cd693ef9d6ed00c1a8abbb3d76_featured_v2.jpg,"East Point Colony, Vizag",Closes in 43 minutes,+918469569669
https://www.zomato.com/visakhapatnam/sugarr-hotel-novotel-maharani-peta-vizag/info,Sugarr - Hotel Novotel,4.0,"₹1,000 for two","Cafe, Coffee, Panini, Fast Food, Desserts, Tea, Beverages",https://b.zmtcdn.com/data/pictures/5/2800815/ce862f127b59f9f7b7620583e6c17fd2_featured_v2.jpg,"Maharani Peta, Vizag",,+918912822222
https://www.zomato.com/visakhapatnam/the-chocolate-room-cafe-and-bistro-venkojipalem-vizag/info,The Chocolate Room Cafe And Bistro,3.9,for two,,https://b.zmtcdn.com/data/pictures/3/21625153/dccb2287dde9158880e3a63cea161fcc_featured_v2.jpg,"Venkojipalem, Vizag",,Not available for this place
https://www.zomato.com/visakhapatnam/masaledaar-desi-rasoi-dwaraka-nagar-vizag/info,Masaledaar Desi Rasoi,3.8,₹400 for two,"North Indian, Chinese, Sichuan, Fast Food, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/6/19415906/18163a18c44466d8edbf07355477453e_featured_v2.jpg,"Dwaraka Nagar, Vizag",Opens at 6:45pm,+916303808508
https://www.zomato.com/visakhapatnam/da-spot-maddilapalem-vizag/info,Da Spot,New,"₹1,200 for two","North Indian, Chinese, Thai, Seafood, Pizza, Pasta, Fast Food, Desserts",https://b.zmtcdn.com/data/pictures/3/21624913/442035a23ba11ecfa50ca3bdb399faee_featured_v2.jpg,"Maddilapalem, Vizag",,+918007740803
https://www.zomato.com/visakhapatnam/kaloreez-siripuram-vizag/info,Kaloreez,3.8,₹650 for two,"Cafe, North Indian, Chinese, Biryani, South Indian, Healthy Food",https://b.zmtcdn.com/data/pictures/8/2800418/270704988aa52344ca1e00ec6ac204a5_featured_v2.jpg,"Siripuram, Vizag",,+919502999799
https://www.zomato.com/visakhapatnam/s-kotas-muntaj-shaan-akkayyapalem-vizag/info,S Kota's Muntaj Shaan,3.9,"₹1,000 for two","North Indian, Chinese, Biryani, Pasta",https://b.zmtcdn.com/data/pictures/6/21501816/5451c895f723ebe8b847f9c0309f1591_featured_v2.jpg,"Akkayyapalem, Vizag",,+919882030703
https://www.zomato.com/visakhapatnam/panorama-ambica-sea-green-kirlampudi-layout-vizag/info,Panorama - Ambica Sea Green,4.0,"₹1,200 for two","Continental, South Indian, North Indian, Chinese, Biryani, Salad, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/8/2800008/c7b5ee71207bfe21a43232295d174ca4_featured_v2.jpg,"Kirlampudi Layout, Vizag",Opens in 28 minutes,+918912821818
